DefaultSC.A1ModJulian     DefaultSC.EarthMJ2000Eq.X   DefaultSC.EarthMJ2000Eq.Y   DefaultSC.EarthMJ2000Eq.Z   DefaultSC.EarthMJ2000Eq.VX   DefaultSC.EarthMJ2000Eq.VY   DefaultSC.EarthMJ2000Eq.VZ   
21545.02430595349         -4471.509272020144          -740.1184439386861          5325.483663577826           -5.803473134221565           0.6592845571875235           -4.780401480209535           
21545.02500039794         -4810.119577789917          -699.0404848412896          5027.688374125197           -5.479577672256409           0.7095064776619375           -5.142660316274671           
21545.02569484238         -5128.597132843192          -655.0366693645066          4708.793280894664           -5.132612562275032           0.7567786549000596           -5.483479261030617           
21545.02638928682         -5425.600347233844          -608.2900617411666          4370.128717295492           -4.764013716619733           0.8009004831009777           -5.801408579671431           
21545.02708373127         -5699.876661164777          -558.9953844730757          4013.109246370717           -4.375311956437744           0.8416841127024999           -6.095091462351648           
21545.02777817571         -5950.268065233678          -507.3582257071974          3639.22788843482            -3.968127112118267           0.8789553517871096           -6.3632705361314             
21545.02847262016         -6175.716250541558          -453.5941938505503          3250.04996760062            -3.544161586261853           0.912554522055862            -6.604794047182198           
21545.0291670646          -6375.267356735426          -397.9280223915466          2847.206598716452           -3.105193391233012           0.9423372612753633           -6.818621655090032           
21545.02986150905         -6548.076287037713          -340.5926283854384          2432.38783975908            -2.653068682036966           0.9681752639957627           -7.00382978018809            
21545.03055595349         -6693.410560829914          -281.8281285515327          2007.335538260664           -2.189693814310176           0.9899569524454435           -7.159616445487259           
21545.03125039794         -6810.65367641889           -221.880817406686           1573.835903794664           -1.71702696631605            1.00758806983943             -7.285305557026629           
21545.03194484238         -6899.307959214871          -161.0021123097809          1133.711841807622           -1.237069372670407           1.02099218889524             -7.380350570353304           
21545.03263928683         -6958.996873664734          -99.44747070210366          688.8150870649031           -0.7518562257624265          1.030111129123616            -7.444337496309692           
21545.03333373127         -6989.466780867412          -37.47528518622752          241.0181775866446           -0.2634473081753311          1.03490527743532             -7.476987206239439           
21545.03402817572         -6990.588127787722          24.65423762012463           -207.793687897078           0.2260825744366888           1.03535380775362             -7.478157004940021           
21545.03472262016         -6962.356058301699          86.68020829820537           -655.7308643159478          0.714653285835207            1.031454796611407            -7.447841448954554           
21545.0354170646          -6904.890440858881          148.3421896133998           -1100.907500751397          1.200189099763759            1.023225233103171            -7.386172397824673           
21545.03611150905         -6818.435312233694          209.3813289199611           -1541.449760918555          1.680628409953578            1.010700923010858            -7.293418296403444           
21545.03680595349         -6703.357741551979          269.5414816668675           -1975.503977709655          2.153933331383092            0.9939362883822561           -7.169982696913925           
21545.03750039794         -6560.146123411009          328.5703198060571           -2401.244696704159          2.618099116860418            0.9730040652637449           -7.016402039791735           
21545.03819484238         -6389.407913356251          386.2204191071407           -2816.882564990298          3.071163316974507            0.9479949036295421           -6.833342722133297           
21545.03888928682         -6191.866823136199          442.250319662406            -3220.672023644246          3.511214617013055            0.9190168747649763           -6.621597491474103           
21545.03958373127         -5968.359496939326          496.4255542138508           -3610.918764715394          3.936401291368155            0.886194892413704            -6.382081210367763           
